sample_id,aneuploidy_score,fga
P-0005266-T01-IM5,0.024390244,0.055972372
P-0005271-T01-IM5,0.048780488,0.076863994
P-0005274-T01-IM5,0.609756098,0.648342495
P-0005289-T01-IM5,0.170731707,0.195904337
P-0005295-T01-IM5,0.073170732,0.149119112
P-0005304-T01-IM5,0.268292683,0.31202845
P-0005309-T01-IM5,0.585365854,0.588131645
P-0005320-T01-IM5,0.048780488,0.056357284
P-0005328-T01-IM5,0.073170732,0.080351372
P-0005332-T01-IM5,0.146341463,0.155171871
P-0005352-T01-IM5,0.414634146,0.564544065
P-0005354-T01-IM5,0.390243902,0.378399816
P-0005361-T01-IM5,0.317073171,0.338776375
P-0005366-T01-IM5,0.829268293,0.785803766
P-0005383-T01-IM5,0.463414634,0.546790838
P-0005421-T01-IM5,0.048780488,0.037069928
P-0005437-T01-IM5,0.658536585,0.724652965
P-0005456-T01-IM5,0.512195122,0.503690664
P-0005458-T01-IM5,0.292682927,0.367222224
P-0005464-T01-IM5,0.414634146,0.466382039
P-0005488-T01-IM5,0.56097561,0.639728192
P-0005489-T01-IM5,0.317073171,0.346695046
P-0005493-T01-IM5,0.390243902,0.328685789
P-0005494-T01-IM5,0.219512195,0.325369651
P-0005500-T01-IM5,0.048780488,0.088912171
P-0005510-T01-IM5,0.048780488,0.0483089
P-0005522-T01-IM5,0.341463415,0.372816373
P-0005534-T01-IM5,0.390243902,0.402160015
P-0005539-T01-IM5,0.707317073,0.761558245
P-0005553-T01-IM5,0.756097561,0.730424132
P-0005579-T01-IM5,0.048780488,0.053726226
P-0005583-T01-IM5,0.219512195,0.246794159
P-0005593-T01-IM5,0.219512195,0.242748198
P-0005604-T01-IM5,0.975609756,0.999215461
P-0005627-T02-IM5,0,0.015908103
P-0005629-T02-IM5,0.195121951,0.201051273
P-0005634-T01-IM5,0.463414634,0.637289995
P-0005635-T01-IM5,0.219512195,0.307730336
P-0005641-T01-IM5,0.43902439,0.454725443
P-0005650-T01-IM5,0.536585366,0.578342297
P-0005655-T01-IM5,0.390243902,0.446723105
P-0005682-T01-IM5,0.219512195,0.245416025
P-0005687-T01-IM5,0.634146341,0.658550762
P-0005711-T01-IM5,0.487804878,0.505633027
P-0005712-T01-IM5,0.43902439,0.714119097
P-0005719-T01-IM5,0.073170732,0.0610048
P-0005721-T01-IM5,0.170731707,0.154380198
P-0005725-T01-IM5,0.536585366,0.610638402
P-0005727-T01-IM5,0.12195122,0.191073015
P-0005731-T01-IM5,0.463414634,0.710773565
P-0005733-T01-IM5,0.43902439,0.612096897
P-0005747-T01-IM5,0.512195122,0.509395611
P-0005750-T01-IM5,0.12195122,0.166709181
P-0005752-T01-IM5,0.024390244,0.073375353
P-0005762-T01-IM5,0.414634146,0.442732078
P-0005783-T01-IM5,0.56097561,0.659047284
P-0005791-T01-IM5,0.268292683,0.268987534
P-0005792-T01-IM5,0.87804878,0.928345377
P-0005794-T01-IM5,0.292682927,0.29572821
P-0005795-T01-IM5,0.268292683,0.288946621
P-0005808-T01-IM5,0.634146341,0.665279316
P-0005822-T01-IM5,0.390243902,0.439925182
P-0005823-T01-IM5,0.243902439,0.285541858
P-0005842-T01-IM5,0,4.91E-04
P-0005848-T01-IM5,0.243902439,0.234332964
P-0005851-T01-IM5,0.56097561,0.546713621
P-0005855-T01-IM5,0.487804878,0.584578934
P-0005869-T01-IM5,0.292682927,0.289921557
P-0005882-T01-IM5,0.268292683,0.268820084
P-0005897-T02-IM5,0.463414634,0.479445556
P-0005898-T01-IM5,0.170731707,0.183511492
P-0005912-T01-IM5,0.585365854,0.617892839
P-0005913-T01-IM5,0.609756098,0.607873767
P-0005928-T01-IM5,0.219512195,0.271107373
P-0005929-T01-IM5,0.463414634,0.434437708
P-0005947-T01-IM5,0.219512195,0.198249723
P-0005954-T01-IM5,0.756097561,0.739544082
P-0005958-T01-IM5,0.731707317,0.769912262
