sample	aneuploidy_score
GENIE-MSK-P-0000160-T01-IM3	0.121951219512195
GENIE-MSK-P-0000161-T01-IM3	0.317073170731707
GENIE-MSK-P-0000162-T01-IM3	0.390243902439024
GENIE-MSK-P-0000163-T01-IM3	0
GENIE-MSK-P-0000163-T02-IM3	0.51219512195122
GENIE-MSK-P-0000165-T01-IM3	0.634146341463415
GENIE-MSK-P-0000167-T01-IM3	0.121951219512195
GENIE-MSK-P-0000167-T02-IM3	0.24390243902439
GENIE-MSK-P-0000168-T01-IM3	0.024390243902439
GENIE-MSK-P-0000170-T01-IM3	0.585365853658537
GENIE-MSK-P-0000171-T01-IM3	0
GENIE-MSK-P-0000174-T01-IM3	0.439024390243902
GENIE-MSK-P-0000175-T03-IM3	0.365853658536585
GENIE-MSK-P-0000178-T01-IM3	0.439024390243902
GENIE-MSK-P-0000180-T02-IM3	0.24390243902439
GENIE-MSK-P-0000181-T01-IM3	0.219512195121951
GENIE-MSK-P-0000182-T01-IM3	0.170731707317073
GENIE-MSK-P-0000183-T01-IM3	0.219512195121951
GENIE-MSK-P-0000184-T01-IM3	0.463414634146341
GENIE-MSK-P-0000184-T02-IM6	0.682926829268293
GENIE-MSK-P-0000185-T01-IM3	0.439024390243902
GENIE-MSK-P-0000186-T01-IM3	0.317073170731707
GENIE-MSK-P-0000187-T01-IM3	0.536585365853659
GENIE-MSK-P-0000188-T01-IM3	0.682926829268293
GENIE-MSK-P-0000189-T01-IM3	0.219512195121951
GENIE-MSK-P-0000190-T01-IM3	0.634146341463415
GENIE-MSK-P-0000191-T01-IM3	0.51219512195122
GENIE-MSK-P-0000192-T02-IM3	0.24390243902439
GENIE-MSK-P-0000193-T01-IM3	0.146341463414634
GENIE-MSK-P-0000195-T01-IM3	0.463414634146341
GENIE-MSK-P-0000196-T01-IM3	0.365853658536585
GENIE-MSK-P-0000196-T02-IM6	0.48780487804878
GENIE-MSK-P-0000197-T01-IM3	0.0975609756097561
GENIE-MSK-P-0000199-T01-IM3	0.48780487804878
GENIE-MSK-P-0000201-T01-IM3	0.341463414634146
GENIE-MSK-P-0000202-T01-IM3	0.463414634146341
GENIE-MSK-P-0000203-T01-IM3	0.195121951219512
GENIE-MSK-P-0000204-T01-IM3	0.463414634146341
GENIE-MSK-P-0000204-T02-IM3	0.317073170731707
GENIE-MSK-P-0000205-T01-IM3	0.634146341463415
GENIE-MSK-P-0000206-T01-IM3	0.365853658536585
GENIE-MSK-P-0000207-T01-IM3	0.170731707317073
GENIE-MSK-P-0000208-T01-IM3	0.24390243902439
GENIE-MSK-P-0000208-T02-IM5	0.390243902439024
GENIE-MSK-P-0000209-T02-IM3	0.365853658536585
GENIE-MSK-P-0000210-T01-IM3	0.51219512195122
GENIE-MSK-P-0000211-T01-IM3	0.024390243902439
GENIE-MSK-P-0000212-T01-IM3	0.024390243902439
GENIE-MSK-P-0000214-T01-IM3	0.731707317073171
GENIE-MSK-P-0000216-T01-IM3	0.560975609756098
GENIE-MSK-P-0000216-T02-IM3	0.585365853658537
GENIE-MSK-P-0000217-T01-IM3	0.48780487804878
GENIE-MSK-P-0000218-T01-IM3	0.195121951219512
GENIE-MSK-P-0000219-T01-IM3	0.121951219512195
GENIE-MSK-P-0000219-T02-IM6	0.268292682926829
GENIE-MSK-P-0000220-T01-IM3	0.48780487804878
GENIE-MSK-P-0000220-T02-IM6	0.317073170731707
GENIE-MSK-P-0000221-T01-IM3	0.51219512195122
GENIE-MSK-P-0000222-T01-IM3	0.268292682926829
GENIE-MSK-P-0000223-T01-IM3	0.341463414634146
GENIE-MSK-P-0000224-T01-IM3	0.170731707317073
GENIE-MSK-P-0000225-T01-IM3	0.170731707317073
GENIE-MSK-P-0000226-T01-IM3	0.439024390243902
GENIE-MSK-P-0000227-T01-IM3	0.0975609756097561
GENIE-MSK-P-0000228-T01-IM3	0.682926829268293
GENIE-MSK-P-0000228-T03-IM5	0.170731707317073
GENIE-MSK-P-0000230-T01-IM3	0.121951219512195
GENIE-MSK-P-0000231-T01-IM3	0.0975609756097561
GENIE-MSK-P-0000232-T01-IM3	0.146341463414634
GENIE-MSK-P-0000233-T01-IM3	0
GENIE-MSK-P-0000234-T01-IM3	0.292682926829268
GENIE-MSK-P-0000234-T02-IM5	0.463414634146341
GENIE-MSK-P-0000235-T01-IM3	0.390243902439024
GENIE-MSK-P-0000236-T01-IM3	0.51219512195122
GENIE-MSK-P-0000237-T01-IM3	0.414634146341463
GENIE-MSK-P-0000238-T01-IM3	0.536585365853659
GENIE-MSK-P-0000239-T01-IM3	0
GENIE-MSK-P-0000240-T01-IM3	0.121951219512195
GENIE-MSK-P-0000241-T01-IM3	0.414634146341463
GENIE-MSK-P-0000242-T01-IM3	0.219512195121951
GENIE-MSK-P-0000242-T02-IM3	0.48780487804878
GENIE-MSK-P-0000245-T01-IM3	0.439024390243902
GENIE-MSK-P-0000246-T01-IM3	0.51219512195122
GENIE-MSK-P-0000246-T02-IM6	0.341463414634146
GENIE-MSK-P-0000246-T05-IH3	0.121951219512195
GENIE-MSK-P-0000247-T01-IM3	0.146341463414634
GENIE-MSK-P-0000247-T02-IM5	0.682926829268293
GENIE-MSK-P-0000247-T03-IM5	0.609756097560976
GENIE-MSK-P-0000249-T02-IM3	0.365853658536585
GENIE-MSK-P-0000250-T01-IM3	0.0975609756097561
GENIE-MSK-P-0000252-T01-IM3	0.609756097560976
GENIE-MSK-P-0000253-T02-IM5	0.0487804878048781
GENIE-MSK-P-0000257-T01-IM3	0.829268292682927
GENIE-MSK-P-0000258-T02-IM5	0.0487804878048781
GENIE-MSK-P-0000259-T01-IM3	0.0731707317073171
